tile,clip_id,source
0,amt_cut_-cut-icc-wt20-bangladesh-vs-netherlands-highlights-3843-3938,amittalmale
1,amt_cut_-wt20-south-africa-vs-west-indies-match-highlights-2446-2535,amittalmale
2,cs10_defense_cricketshot-train-defense-defense-0068,cricshot10
3,cs10_defense_cricketshot-train-defense-defense-0078,cricshot10
4,cs10_pull_cricketshot-train-pull-pull-0081,cricshot10
5,cs10_pull_cricketshot-train-pull-pull-0093,cricshot10
6,cs10k_cover-drive_cover-drive-vid245-17,cricshot10k
7,cs10k_cover-drive_cover-drive-vid248-12,cricshot10k
8,cs10k_defensive_defensive-vid245-23,cricshot10k
9,cs10k_defensive_defensive-vid247-31,cricshot10k
10,cs10k_down-the-wicket_down-the-wicket-vid442-43,cricshot10k
11,cs10k_down-the-wicket_down-the-wicket-vid443-7,cricshot10k
12,cs10k_flick_flick-vid306-3,cricshot10k
13,cs10k_flick_flick-vid312-1,cricshot10k
14,cs10k_hook_hook-vid368-31,cricshot10k
15,cs10k_hook_hook-vid38-24,cricshot10k
16,cs10k_lofted-legside_lofted-legside-vid278-15,cricshot10k
17,cs10k_lofted-legside_lofted-legside-vid299-15,cricshot10k
18,cs10k_lofted-legside_lofted-legside-vid61-17,cricshot10k
19,cs10k_lofted-legside_lofted-legside-vid69-3,cricshot10k
20,cs10k_lofted-offside_lofted-offside-vid482-35,cricshot10k
21,cs10k_lofted-offside_lofted-offside-vid485-31,cricshot10k
22,cs10k_pull_pull-vid465-14,cricshot10k
23,cs10k_pull_pull-vid470-27,cricshot10k
24,cs10k_square-cut_square-cut-vid109-39,cricshot10k
25,cs10k_square-cut_square-cut-vid115-28,cricshot10k
26,cs10k_square-cut_square-cut-vid505-34,cricshot10k
27,cs10k_square-cut_square-cut-vid507-30,cricshot10k
28,cs10k_sweep_sweep-vid256-28,cricshot10k
29,cs10k_sweep_sweep-vid266-14,cricshot10k
30,cs10k_upper-cut_upper-cut-vid226-33,cricshot10k
31,cs10k_upper-cut_upper-cut-vid233-17,cricshot10k
32,ipl_flick_flick-23-pbks-mi-flick-4,ipl2023
33,ipl_flick_flick-25-kkr-srh-flick-2,ipl2023
34,ipl_pull_pull-7-csk-lsg-pull-3,ipl2023
35,ipl_pull_pull-9-rr-mi-pull-6,ipl2023
36,ku_defensive-shot_defensive-shot-71,kucricshot
37,ku_defensive-shot_defensive-shot-80,kucricshot
38,ku_pull-shot_pull-shot-203,kucricshot
39,ku_pull-shot_pull-shot-215,kucricshot
40,amt_cut_-cut-icc-wt20-england-v-sri-lanka-match-highlights-1902-1976,amittalmale
41,amt_cut_-wt20-south-africa-vs-west-indies-match-highlights-3957-4190,amittalmale
42,cs10_defense_cricketshot-train-defense-defense-0069,cricshot10
43,cs10_defense_cricketshot-train-defense-defense-0079,cricshot10
44,cs10_pull_cricketshot-train-pull-pull-0082,cricshot10
45,cs10_pull_cricketshot-train-pull-pull-0094,cricshot10
46,cs10k_cover-drive_cover-drive-vid245-28,cricshot10k
47,cs10k_cover-drive_cover-drive-vid248-17,cricshot10k
48,cs10k_defensive_defensive-vid245-7,cricshot10k
49,cs10k_defensive_defensive-vid247-37,cricshot10k
50,cs10k_down-the-wicket_down-the-wicket-vid442-62,cricshot10k
51,cs10k_down-the-wicket_down-the-wicket-vid443-8,cricshot10k
52,cs10k_flick_flick-vid307-0,cricshot10k
53,cs10k_flick_flick-vid312-26,cricshot10k
54,cs10k_hook_hook-vid369-17,cricshot10k
55,cs10k_hook_hook-vid380-30,cricshot10k
56,cs10k_lofted-legside_lofted-legside-vid279-17,cricshot10k
57,cs10k_lofted-legside_lofted-legside-vid299-16,cricshot10k
58,cs10k_lofted-legside_lofted-legside-vid61-2,cricshot10k
59,cs10k_lofted-legside_lofted-legside-vid71-16,cricshot10k
60,cs10k_lofted-offside_lofted-offside-vid482-5,cricshot10k
