tile,clip_id,source,error,striker_ok,pose_ok
0,amt_cut_-cut-icc-wt20-bangladesh-vs-netherlands-highlights-3843-3938,amittalmale,,1,1
1,amt_cut_-wt20-south-africa-vs-west-indies-match-highlights-2446-2535,amittalmale,,1,1
2,cs10_defense_cricketshot-train-defense-defense-0068,cricshot10,,1,1
3,cs10_defense_cricketshot-train-defense-defense-0078,cricshot10,,1,1
4,cs10_pull_cricketshot-train-pull-pull-0081,cricshot10,,1,1
5,cs10_pull_cricketshot-train-pull-pull-0093,cricshot10,,1,1
6,cs10k_cover-drive_cover-drive-vid245-17,cricshot10k,,1,1
7,cs10k_cover-drive_cover-drive-vid248-12,cricshot10k,keeper,0,0
8,cs10k_defensive_defensive-vid245-23,cricshot10k,,1,1
9,cs10k_defensive_defensive-vid247-31,cricshot10k,,1,1
10,cs10k_down-the-wicket_down-the-wicket-vid442-43,cricshot10k,,1,1
11,cs10k_down-the-wicket_down-the-wicket-vid443-7,cricshot10k,,1,1
12,cs10k_flick_flick-vid306-3,cricshot10k,track switch,0,0
13,cs10k_flick_flick-vid312-1,cricshot10k,,1,1
14,cs10k_hook_hook-vid368-31,cricshot10k,,1,1
15,cs10k_hook_hook-vid38-24,cricshot10k,no batter found,0,0
16,cs10k_lofted-legside_lofted-legside-vid278-15,cricshot10k,,1,1
17,cs10k_lofted-legside_lofted-legside-vid299-15,cricshot10k,,1,1
18,cs10k_lofted-legside_lofted-legside-vid61-17,cricshot10k,keeper,0,0
19,cs10k_lofted-legside_lofted-legside-vid69-3,cricshot10k,,1,1
20,cs10k_lofted-offside_lofted-offside-vid482-35,cricshot10k,,1,1
21,cs10k_lofted-offside_lofted-offside-vid485-31,cricshot10k,,1,1
22,cs10k_pull_pull-vid465-14,cricshot10k,keeper,0,0
23,cs10k_pull_pull-vid470-27,cricshot10k,,1,1
24,cs10k_square-cut_square-cut-vid109-39,cricshot10k,,1,1
25,cs10k_square-cut_square-cut-vid115-28,cricshot10k,,1,1
26,cs10k_square-cut_square-cut-vid505-34,cricshot10k,,1,1
27,cs10k_square-cut_square-cut-vid507-30,cricshot10k,,1,1
28,cs10k_sweep_sweep-vid256-28,cricshot10k,,1,1
29,cs10k_sweep_sweep-vid266-14,cricshot10k,,1,1
30,cs10k_upper-cut_upper-cut-vid226-33,cricshot10k,,1,1
31,cs10k_upper-cut_upper-cut-vid233-17,cricshot10k,,1,1
32,ipl_flick_flick-23-pbks-mi-flick-4,ipl2023,,1,1
33,ipl_flick_flick-25-kkr-srh-flick-2,ipl2023,,1,1
34,ipl_pull_pull-7-csk-lsg-pull-3,ipl2023,,1,1
35,ipl_pull_pull-9-rr-mi-pull-6,ipl2023,,1,1
36,ku_defensive-shot_defensive-shot-71,kucricshot,,1,1
37,ku_defensive-shot_defensive-shot-80,kucricshot,,1,1
38,ku_pull-shot_pull-shot-203,kucricshot,,1,1
39,ku_pull-shot_pull-shot-215,kucricshot,,1,1
40,amt_cut_-cut-icc-wt20-england-v-sri-lanka-match-highlights-1902-1976,amittalmale,,1,1
41,amt_cut_-wt20-south-africa-vs-west-indies-match-highlights-3957-4190,amittalmale,,1,1
42,cs10_defense_cricketshot-train-defense-defense-0069,cricshot10,,1,1
43,cs10_defense_cricketshot-train-defense-defense-0079,cricshot10,,1,1
44,cs10_pull_cricketshot-train-pull-pull-0082,cricshot10,,1,1
45,cs10_pull_cricketshot-train-pull-pull-0094,cricshot10,,1,1
46,cs10k_cover-drive_cover-drive-vid245-28,cricshot10k,,1,1
47,cs10k_cover-drive_cover-drive-vid248-17,cricshot10k,,1,1
48,cs10k_defensive_defensive-vid245-7,cricshot10k,,1,1
49,cs10k_defensive_defensive-vid247-37,cricshot10k,,1,1
50,cs10k_down-the-wicket_down-the-wicket-vid442-62,cricshot10k,keeper,0,0
51,cs10k_down-the-wicket_down-the-wicket-vid443-8,cricshot10k,,1,1
52,cs10k_flick_flick-vid307-0,cricshot10k,,1,1
53,cs10k_flick_flick-vid312-26,cricshot10k,slip fielder,0,0
54,cs10k_hook_hook-vid369-17,cricshot10k,,1,1
55,cs10k_hook_hook-vid380-30,cricshot10k,,1,1
56,cs10k_lofted-legside_lofted-legside-vid279-17,cricshot10k,,1,1
57,cs10k_lofted-legside_lofted-legside-vid299-16,cricshot10k,,1,1
58,cs10k_lofted-legside_lofted-legside-vid61-2,cricshot10k,,1,1
59,cs10k_lofted-legside_lofted-legside-vid71-16,cricshot10k,,1,1
60,cs10k_lofted-offside_lofted-offside-vid482-5,cricshot10k,,1,1
61,cs10k_lofted-offside_lofted-offside-vid485-37,cricshot10k,keeper,0,0
62,cs10k_pull_pull-vid466-20,cricshot10k,,1,1
63,cs10k_pull_pull-vid470-35,cricshot10k,keeper,0,0
64,cs10k_square-cut_square-cut-vid110-0,cricshot10k,,1,1
65,cs10k_square-cut_square-cut-vid116-24,cricshot10k,,1,1
66,cs10k_square-cut_square-cut-vid505-39,cricshot10k,,1,1
67,cs10k_square-cut_square-cut-vid507-5,cricshot10k,,1,1
68,cs10k_sweep_sweep-vid256-37,cricshot10k,,1,0
69,cs10k_sweep_sweep-vid270-14,cricshot10k,keeper,0,0
70,cs10k_upper-cut_upper-cut-vid226-42,cricshot10k,,1,1
71,cs10k_upper-cut_upper-cut-vid234-14,cricshot10k,,1,1
72,ipl_flick_flick-23-pbks-mi-flick-5,ipl2023,,1,1
73,ipl_flick_flick-26-lsg-mi-flick-1,ipl2023,,1,1
74,ipl_pull_pull-7-csk-lsg-pull-4,ipl2023,,1,1
75,ipl_pull_pull-9-rr-mi-pull-7,ipl2023,,1,1
76,ku_defensive-shot_defensive-shot-72,kucricshot,,1,1
77,ku_defensive-shot_defensive-shot-81,kucricshot,,1,1
78,ku_pull-shot_pull-shot-204,kucricshot,,1,1
79,ku_pull-shot_pull-shot-216,kucricshot,,1,1
80,amt_cut_-cut-icc-wt20-india-vs-bangladesh-match-highlights-4150-4238,amittalmale,,1,1
81,amt_cut_c-wt20-england-v-new-zealand-semi-final-highlights-2604-2739,amittalmale,,1,1
82,cs10_defense_cricketshot-train-defense-defense-0070,cricshot10,,1,1
83,cs10_defense_cricketshot-train-defense-defense-0080,cricshot10,,1,1
84,cs10_pull_cricketshot-train-pull-pull-0084,cricshot10,,1,1
85,cs10_pull_cricketshot-train-pull-pull-0095,cricshot10,,1,1
86,cs10k_cover-drive_cover-drive-vid245-3,cricshot10k,,1,1
87,cs10k_cover-drive_cover-drive-vid248-19,cricshot10k,,1,1
88,cs10k_defensive_defensive-vid246-17,cricshot10k,,1,1
89,cs10k_defensive_defensive-vid247-6,cricshot10k,,1,1
90,cs10k_down-the-wicket_down-the-wicket-vid443-3,cricshot10k,,1,1
91,cs10k_down-the-wicket_down-the-wicket-vid444-11,cricshot10k,,1,1
92,cs10k_flick_flick-vid307-1,cricshot10k,,1,1
93,cs10k_flick_flick-vid312-29,cricshot10k,,1,1
94,cs10k_hook_hook-vid37-5,cricshot10k,,1,1
95,cs10k_hook_hook-vid380-32,cricshot10k,,1,1
96,cs10k_lofted-legside_lofted-legside-vid282-4,cricshot10k,,1,1
97,cs10k_lofted-legside_lofted-legside-vid3-18,cricshot10k,,1,1
98,cs10k_lofted-legside_lofted-legside-vid61-8,cricshot10k,,1,1
99,cs10k_lofted-legside_lofted-legside-vid71-21,cricshot10k,,1,1
100,cs10k_lofted-offside_lofted-offside-vid482-60,cricshot10k,,1,1
101,cs10k_lofted-offside_lofted-offside-vid485-52,cricshot10k,,1,1
102,cs10k_pull_pull-vid467-15,cricshot10k,,1,1
103,cs10k_pull_pull-vid470-4,cricshot10k,,1,1
104,cs10k_square-cut_square-cut-vid110-27,cricshot10k,,1,1
105,cs10k_square-cut_square-cut-vid116-29,cricshot10k,,1,1
106,cs10k_square-cut_square-cut-vid505-5,cricshot10k,,1,1
107,cs10k_square-cut_square-cut-vid508-11,cricshot10k,,1,1
108,cs10k_sweep_sweep-vid256-8,cricshot10k,keeper,0,0
109,cs10k_sweep_sweep-vid273-0,cricshot10k,keeper,0,0
110,cs10k_upper-cut_upper-cut-vid227-17,cricshot10k,,1,1
111,cs10k_upper-cut_upper-cut-vid234-17,cricshot10k,,1,0
112,ipl_flick_flick-24-gt-rr-flick-1,ipl2023,,1,1
113,ipl_flick_flick-26-lsg-mi-flick-2,ipl2023,,1,1
114,ipl_pull_pull-7-csk-lsg-pull-5,ipl2023,,1,1
115,ipl_slog_slog-1-csk-kkr-slog-1,ipl2023,,1,1
116,ku_defensive-shot_defensive-shot-73,kucricshot,,1,1
117,ku_defensive-shot_defensive-shot-82,kucricshot,,1,1
118,ku_pull-shot_pull-shot-206,kucricshot,,1,1
119,ku_pull-shot_pull-shot-217,kucricshot,,1,1
120,amt_cut_-icc-wt20-afghanistan-vs-zimbabwe-match-highlights-3866-3946,amittalmale,,1,1
121,amt_cut_cc-wt20-south-africa-vs-west-indies-match-highlights-696-822,amittalmale,,1,1
122,cs10_defense_cricketshot-train-defense-defense-0071,cricshot10,,1,1
123,cs10_defense_cricketshot-train-defense-defense-0081,cricshot10,,1,1
124,cs10_pull_cricketshot-train-pull-pull-0085,cricshot10,,1,1
125,cs10_pull_cricketshot-train-pull-pull-0096,cricshot10,,1,1
126,cs10k_cover-drive_cover-drive-vid245-34,cricshot10k,keeper,0,0
127,cs10k_cover-drive_cover-drive-vid248-2,cricshot10k,,1,1
128,cs10k_defensive_defensive-vid246-9,cricshot10k,keeper,0,0
129,cs10k_defensive_defensive-vid248-11,cricshot10k,,1,1
130,cs10k_down-the-wicket_down-the-wicket-vid443-32,cricshot10k,,1,1
131,cs10k_down-the-wicket_down-the-wicket-vid444-28,cricshot10k,,1,1
132,cs10k_flick_flick-vid307-3,cricshot10k,,1,1
133,cs10k_flick_flick-vid312-3,cricshot10k,,1,0
134,cs10k_hook_hook-vid374-9,cricshot10k,,1,0
135,cs10k_hook_hook-vid380-35,cricshot10k,,1,1
136,cs10k_lofted-legside_lofted-legside-vid284-0,cricshot10k,,1,1
137,cs10k_lofted-legside_lofted-legside-vid3-19,cricshot10k,,1,1
138,cs10k_lofted-legside_lofted-legside-vid62-55,cricshot10k,,1,1
